ANÁLISIS LÉXICO (Ruby)
L 67 NEWLINE      '\n\n'
L 69 DEF          'def'
L 69 ID           'mayor_de_edad?'
L 69 NEWLINE      '\n'
L 70 ID           'edad'
L 70 MAYORIG      '>='
L 70 NUMBER       18
L 70 NEWLINE      '\n'
L 71 END          'end'
L 71 NEWLINE      '\n\n'
L 73 DEF          'def'
L 73 ID           'descripcion'
L 73 NEWLINE      '\n'
L 74 STRING       'Persona #{@nombre} con #{@edad} años'
L 74 NEWLINE      '\n'
L 75 END          'end'
L 75 NEWLINE      '\n\n'
L 77 DEF          'def'
L 77 ID           'saludar'
L 77 NEWLINE      '\n'
L 78 ID           'puts'
L 78 STRING       'Hola, soy #{@nombre}'
L 78 NEWLINE      '\n'
L 79 END          'end'
L 79 NEWLINE      '\n\n'
L 81 NEWLINE      '\n'
L 82 DEF          'def'
L 82 ID           'ejemplo_return'
L 82 NEWLINE      '\n'
L 83 ID           'valor'
L 83 ASIG         '='
L 83 ID           'Utilidades'
L 83 PTO          '.'
L 83 ID           'sumar'
L 83 LPAR         '('
L 83 NUMBER       1
L 83 COMA         ','
L 83 NUMBER       2
L 83 RPAR         ')'
L 83 NEWLINE      '\n'
L 84 RETURN       'return'
L 84 ID           'valor'
L 84 NEWLINE      '\n'
L 85 END          'end'
L 85 NEWLINE      '\n'
L 86 END          'end'
L 86 NEWLINE      '\n\n'
L 88 ALIAS        'alias'
L 88 ID           'PersonaAlias'
L 88 ID           'Persona'
L 88 NEWLINE      '\n\n'
L 90 NEWLINE      '\n'
L 91 ID           'persona'
L 91 ASIG         '='
L 91 ID           'Persona'
L 91 PTO          '.'
L 91 ID           'new'
L 91 LPAR         '('
L 91 STRING       'Carlos'
L 91 COMA         ','
L 91 NUMBER       20
L 91 RPAR         ')'
L 91 NEWLINE      '\n\n'
L 93 IF           'if'
L 93 ID           'persona'
L 93 PTO          '.'
L 93 ID           'mayor_de_edad?'
L 93 NEWLINE      '\n'
L 94 ID           'mensaje'
L 94 ASIG         '='
L 94 STRING       'Es mayor de edad'
L 94 NEWLINE      '\n'
L 95 ELSIF        'elsif'
L 95 ID           'persona'
L 95 PTO          '.'
L 95 ID           'mayor_de_edad?'
L 95 IGUAL        '=='
L 95 FALSE        'false'
L 95 NEWLINE      '\n'
L 96 ID           'mensaje'
L 96 ASIG         '='
L 96 STRING       'Es menor de edad'
L 96 NEWLINE      '\n'
L 97 ELSE         'else'
L 97 NEWLINE      '\n'
L 98 ID           'mensaje'
L 98 ASIG         '='
L 98 STRING       'Edad desconocida'
L 98 NEWLINE      '\n'
L 99 END          'end'
L 99 NEWLINE      '\n\n'
L101 UNLESS       'unless'
L101 ID           'persona'
L101 PTO          '.'
L101 ID           'mayor_de_edad?'
L101 IGUAL        '=='
L101 FALSE        'false'
L101 NEWLINE      '\n'
L102 ID           'estado'
L102 ASIG         '='
L102 STRING       'Puede entrar'
L102 NEWLINE      '\n'
L103 END          'end'
L103 NEWLINE      '\n\n'
L105 ID           'contador'
L105 ASIG         '='
L105 NUMBER       0
L105 NEWLINE      '\n'
L106 UNTIL        'until'
L106 ID           'contador'
L106 MAYORIG      '>='
L106 NUMBER       3
L106 NEWLINE      '\n'
L107 ID           'contador'
L107 ASIG         '='
L107 ID           'contador'
L107 PLUS         '+'
L107 NUMBER       1
L107 NEWLINE      '\n'
L108 END          'end'
L108 NEWLINE      '\n\n'
L110 NEWLINE      '\n'
L111 ID           'i'
L111 ASIG         '='
L111 NUMBER       0
L111 NEWLINE      '\n'
L112 WHILE        'while'
L112 ID           'i'
L112 MENORQ       '<'
L112 NUMBER       5
L112 NEWLINE      '\n'
L113 ID           'i'
L113 ASIG         '='
L113 ID           'i'
L113 PLUS         '+'
L113 NUMBER       1
L113 NEWLINE      '\n'
L114 NEXT         'next'
L114 IF           'if'
L114 ID           'i'
L114 IGUAL        '=='
L114 NUMBER       2
L114 NEWLINE      '\n'
L115 BREAK        'break'
L115 IF           'if'
L115 ID           'i'
L115 IGUAL        '=='
L115 NUMBER       4
L115 NEWLINE      '\n'
L116 END          'end'
L116 NEWLINE      '\n\n'
L118 NEWLINE      '\n'
L119 FOR          'for'
L119 ID           'n'
L119 IN           'in'
L119 ID           'numeros'
L119 NEWLINE      '\n'
L120 CASE         'case'
L120 ID           'n'
L120 NEWLINE      '\n'
L121 WHEN         'when'
L121 NUMBER       1
L121 COMA         ','
L121 NUMBER       2
L121 NEWLINE      '\n'
L122 NEWLINE      '\n'
L123 ID           'resultado'
L123 ASIG         '='
L123 STRING       'Número pequeño'
L123 NEWLINE      '\n'
L124 WHEN         'when'
L124 NUMBER       3
L124 PTO          '.'
L124 PTO          '.'
L124 NUMBER       4
L124 NEWLINE      '\n'
L125 ID           'resultado'
L125 ASIG         '='
L125 STRING       'Número mediano'
L125 NEWLINE      '\n'
L126 ELSE         'else'
L126 NEWLINE      '\n'
L127 ID           'resultado'
L127 ASIG         '='
L127 STRING       'Número grande'
L127 NEWLINE      '\n'
L128 END          'end'
L128 NEWLINE      '\n'
L129 END          'end'
L129 NEWLINE      '\n\n'
L131 NEWLINE      '\n'
L132 ID           'intento'
L132 ASIG         '='
L132 NUMBER       0
L132 NEWLINE      '\n\n'
L134 ID           'begin'
L134 NEWLINE      '\n'
L135 ID           'intento'
L135 ASIG         '='
L135 ID           'intento'
L135 PLUS         '+'
L135 NUMBER       1
L135 NEWLINE      '\n'
L136 ID           'x'
L136 ASIG         '='
L136 NUMBER       10
L136 DIVIDE       '/'
L136 LPAR         '('
L136 ID           'intento'
L136 MINUS        '-'
L136 NUMBER       1
L136 RPAR         ')'
L136 NEWLINE      '\n'
L137 RESCUE       'rescue'
L137 ID           'ZeroDivisionError'
L137 NEWLINE      '\n'
L138 NEWLINE      '\n'
L139 RETRY        'retry'
L139 IF           'if'
L139 ID           'intento'
L139 MENORQ       '<'
L139 NUMBER       2
L139 NEWLINE      '\n'
L140 RESCUE       'rescue'
L140 ID           'StandardError'
L140 NEWLINE      '\n'
L141 ID           'mensaje_error'
L141 ASIG         '='
L141 STRING       'Otro error'
L141 NEWLINE      '\n'
L142 ENSURE       'ensure'
L142 NEWLINE      '\n'
L143 NEWLINE      '\n'
L144 ID           'finalizado'
L144 ASIG         '='
L144 TRUE         'true'
L144 NEWLINE      '\n'
L145 END          'end'
L145 NEWLINE      '\n\n'
L147 NEWLINE      '\n'
L148 DEF          'def'
L148 ID           'con_bloque'
L148 LPAR         '('
L148 ID           'valor'
L148 RPAR         ')'
L148 NEWLINE      '\n'
L149 IF           'if'
L149 ID           'block_given?'
L149 NEWLINE      '\n'
L150 YIELD        'yield'
L150 ID           'valor'
L150 NEWLINE      '\n'
L151 END          'end'
L151 NEWLINE      '\n'
L152 END          'end'
L152 NEWLINE      '\n\n'
L154 ID           'con_bloque'
L154 LPAR         '('
L154 NUMBER       5
L154 RPAR         ')'
L154 DO           'do'
L154 ID           'v'
L154 NEWLINE      '\n'
L155 ID           'puts'
L155 STRING       'Valor desde yield: #{v}'
L155 NEWLINE      '\n'
L156 END          'end'
L156 NEWLINE      '\n\n'
L158 NEWLINE      '\n'
L159 ID           'var_inexistente'
L159 ASIG         '='
L159 NIL          'nil'
L159 NEWLINE      '\n'
L160 ID           'definido'
L160 ASIG         '='
L160 DEFINED      'defined?'
L160 LPAR         '('
L160 ID           'var_inexistente'
L160 RPAR         ')'
L160 NEWLINE      '\n\n'
L162 NEWLINE      '\n'
L163 DEF          'def'
L163 ID           'metodo_temporal'
L163 NEWLINE      '\n'
L164 NUMBER       123
L164 NEWLINE      '\n'
L165 END          'end'
L165 NEWLINE      '\n\n'
L167 UNDEF        'undef'
L167 ID           'metodo_temporal'
L167 NEWLINE      '\n'

------------------------------------------------------------
ERRORES LÉXICOS:
L  8 'é'    Caracter ilegal 'é' en la línea 8
L 65 '@'    Caracter ilegal '@' en la línea 65
L 66 '@'    Caracter ilegal '@' en la línea 66
L 70 '@'    Caracter ilegal '@' en la línea 70
L154 '|'    Caracter ilegal '|' en la línea 154
L154 '|'    Caracter ilegal '|' en la línea 154

RESUMEN:
Total de tokens : 539
Errores léxicos : 6
